A_AF_01_sila;pomik;;A_AF_02_sila;pomik;;A_AF_03_sila;pomik
2,436134;3,18;;2,365703;2,965;;2,297199;3,235
2,449032;3,2;;2,387394;2,985;;2,304813;3,245
2,455879;3,21;;2,404857;3,005;;2,315505;3,26
2,467123;3,225;;2,414386;3,03;;2,326642;3,27
2,473128;3,24;;2,426779;3,05;;2,330594;3,285
2,484265;3,25;;2,445069;3,07;;2,339602;3,295
2,49004;3,265;;2,450232;3,085;;2,336385;3,295
2,499308;3,275;;2,468017;3,105;;2,34455;3,305
2,502939;3,285;;2,471494;3,12;;2,347797;3,31
2,513723;3,3;;2,498103;3,14;;2,358122;3,32
2,518089;3,31;;2,499144;3,16;;2,362304;3,33
2,526361;3,315;;2,521525;3,18;;2,3705;3,34
2,527403;3,32;;2,534378;3,195;;2,37027;3,345
2,525779;3,33;;2,540153;3,21;;2,375095;3,35
2,534817;3,335;;2,549145;3,225;;2,377117;3,36
2,539964;3,34;;2,554981;3,24;;2,394473;3,375
2,538294;3,345;;2,568171;3,255;;2,407219;3,395
2,524002;3,345;;2,570836;3,265;;2,42891;3,415
2,515898;3,345;;2,584393;3,28;;2,443003;3,44
2,515377;3,345;;2,594488;3,29;;2,46687;3,47
2,518319;3,345;;2,60466;3,305;;2,493846;3,505
2,524109;3,345;;2,610665;3,315;;2,513469;3,54
2,525794;3,35;;2,620775;3,33;;2,53153;3,57
2,528031;3,35;;2,620438;3,34;;2,553329;3,6
2,538187;3,355;;2,633566;3,35;;2,579141;3,625
2,536395;3,36;;2,634302;3,36;;2,591902;3,655
2,548343;3,37;;2,643845;3,365;;2,61056;3,675
2,5566;3,38;;2,644213;3,38;;2,626216;3,7
2,566374;3,39;;2,652133;3,385;;2,650695;3,735
2,579134;3,405;;2,64648;3,39;;2,673842;3,77
2,591573;3,42;;2,655212;3,39;;2,700435;3,805
2,603108;3,44;;2,649544;3,395;;2,721743;3,835
2,618473;3,455;;2,659792;3,4;;2,735392;3,865
2,631371;3,47;;2,657356;3,405;;2,75549;3,89
2,643917;3,49;;2,623456;3,405;;2,765157;3,915
2,654242;3,505;;2,598119;3,405;;2,791719;3,94
2,669484;3,52;;2,617175;3,405;;2,800742;3,96
2,673911;3,535;;2,623625;3,405;;2,817593;3,98
2,691758;3,555;;2,633857;3,405;;2,820748;3,995
2,700505;3,57;;2,660083;3,415;;2,831364;4,01
2,716421;3,585;;2,675142;3,425;;2,825589;4,01
2,724616;3,605;;2,688576;3,445;;2,829449;4,015
2,739767;3,62;;2,701168;3,46;;2,823705;4,015
2,749325;3,64;;2,708199;3,475;;2,826569;4,015
2,765747;3,655;;2,733246;3,5;;2,831211;4,02
2,773207;3,67;;2,755289;3,535;;2,839636;4,03
2,786887;3,685;;2,773136;3,56;;2,84414;4,04
2,803293;3,71;;2,798105;3,59;;2,850344;4,045
2,830622;3,74;;2,813577;3,62;;2,855599;4,055
2,848606;3,775;;2,838439;3,645;;2,863365;4,065
2,873285;3,8;;2,849622;3,67;;2,874364;4,08
2,890059;3,83;;2,870731;3,69;;2,884214;4,1
2,911367;3,855;;2,880903;3,71;;2,90805;4,12
2,926793;3,88;;2,89518;3,73;;2,916582;4,135
2,946125;3,905;;2,903667;3,745;;2,933402;4,155
2,960862;3,93;;2,919935;3,765;;2,943007;4,175
2,974174;3,95;;2,934978;3,79;;2,958985;4,19
2,987348;3,97;;2,956241;3,815;;2,967104;4,21
2,992878;3,99;;2,967224;3,84;;2,980416;4,225
3,013666;4,01;;2,996774;3,87;;2,986467;4,24
3,02059;4,025;;3,021514;3,905;;2,9984;4,255
3,035618;4,045;;3,048;3,94;;3,003884;4,27
3,040244;4,06;;3,066275;3,975;;3,005401;4,275
3,059254;4,08;;3,087155;4;;3,010303;4,28
3,065106;4,095;;3,096101;4,02;;3,007515;4,285
3,081804;4,11;;3,103944;4,035;;3,018498;4,295
3,086706;4,125;;3,119247;4,055;;3,036666;4,315
3,099298;4,14;;3,124486;4,07;;3,050667;4,335
3,106574;4,155;;3,142961;4,085;;3,062448;4,355
3,11552;4,165;;3,152137;4,105;;3,076311;4,375
3,118998;4,18;;3,162569;4,12;;3,083879;4,395
3,132539;4,19;;3,164208;4,13;;3,106688;4,415
3,138023;4,205;;3,170244;4,14;;3,116676;4,435
3,139954;4,215;;3,178684;4,155;;3,134063;4,455
3,152347;4,225;;3,189898;4,165;;3,138199;4,47
3,160374;4,235;;3,189545;4,175;;3,145383;4,48
3,160588;4,24;;3,203256;4,185;;3,158741;4,495
3,167405;4,25;;3,206488;4,195;;3,164256;4,51
3,16791;4,255;;3,215832;4,205;;3,176097;4,525
3,172399;4,26;;3,214438;4,215;;3,180969;4,54
3,171909;4,265;;3,225682;4,22;;3,197636;4,555
3,17871;4,275;;3,229343;4,23;;3,200653;4,565
3,188039;4,285;;3,23541;4,235;;3,219021;4,585
3,188545;4,295;;3,236727;4,245;;3,223892;4,6
3,201137;4,305;;3,243666;4,25;;3,232087;4,61
3,204001;4,315;;3,24313;4,26;;3,238981;4,62
3,219274;4,325;;3,225192;4,26;;3,248096;4,63
3,223609;4,34;;3,201356;4,26;;3,242474;4,64
3,231881;4,35;;3,224487;4,26;;3,26971;4,66
3,231866;4,355;;3,237355;4,26;;3,284907;4,685
3,246021;4,37;;3,243498;4,265;;3,302937;4,71
3,250708;4,38;;3,243222;4,265;;3,320094;4,73
3,254308;4,39;;3,248109;4,27;;3,335949;4,755
3,262534;4,4;;3,249962;4,275;;3,344114;4,77
